source,url,description,country,company,title
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/most-actively-traded-companies-toronto-221423928.html,"TORONTO — Some of the most active companies traded Wednesday on the Toronto Stock Exchange: Toronto Stock Exchange (19,588.83, up 145.06): Toronto-Dominion Bank (TSX:TD). Financials. Up $1.14, or 1.30 per cent, to $88.81 on 19.9 million shares. Bank of Nova Scotia (TSX:BNS). Financials. Up $1.22, or 1.87 per cent, to $66.41 on 8.9 million shares. Barrick Gold Corp. (TSX:ABX). Materials. Up $1.08, or 4.43 per cent, to $25.45 on six million shares. Suncor Energy Inc. (TSX:SU). Energy. Down $1.10,",CAD,ACB.TO, - Most actively traded companies on the Toronto Stock Exchange
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/why-bmo-stock-lost-10-183000628.html,"Banks continue to look under pressure in 2023, but does BMO stock stand out? The post Why BMO Stock Lost 10% Last Year – Should You Buy? appeared first on The Motley Fool Canada.",CAD,BMO.TO,The Motley Fool - Why BMO Stock Lost 10% Last Year – Should You Buy?
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/tfsa-passive-income-2-high-203000393.html,Top TSX dividend stocks are now on sale and offer high yields to generate passive income. The post TFSA Passive Income: 2 High-Yield TSX Dividend Stocks to Buy Today appeared first on The Motley Fool Canada.,CAD,BNS.TO,The Motley Fool - TFSA Passive Income: 2 High-Yield TSX Dividend Stocks to Buy Today
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/bitfarms-present-25th-annual-needham-220000020.html,"Presentation: Thursday, January 12, 2023 / 9:30 AM ETTORONTO and BROSSARD, Québec, Jan. 04, 2023 (GLOBE NEWSWIRE) -- Bitfarms Ltd. (NASDAQ: BITF // TSX: BITF), a global Bitcoin self-mining company, announced today that management will be presenting at the 25th Annual Needham Growth Conference on Thursday, January 12th, at 9:30 AM ET. Event: Bitfarms Presentation at the 25th Annual Needham Growth ConferenceDate: Thursday, January 12, 2023Time: 9:30 am ET The Company’s presentation will be webcast",CAD,BITF.TO,GlobeNewswire - Bitfarms to Present at the 25th Annual Needham Growth Conference
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/3-cibc-ordered-pay-848-221147028.html,"Canadian Imperial Bank of Commerce plans to appeal a New York judge's order that it pay about $848 million in damages to private equity firm Cerberus Capital Management, in a contract dispute tied to the 2008 global financial crisis.  It also said it ""strongly disagrees"" with the legal and factual bases underlying Tuesday's award to Cerberus by Justice Joel Cohen of a New York state court in Manhattan of $491 million in damages plus an estimated $357 million in interest.  Banks struggled during and after the financial crisis to contain their exposure to mounting defaults and falling securities prices as the U.S. housing market collapsed and credit conditions tightened.",CAD,CM.TO," - UPDATE 3-CIBC ordered to pay $848 mln damages to Cerberus, will appeal"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/enbridge-enb-outpaces-stock-market-225010285.html,"In the latest trading session, Enbridge (ENB) closed at $39.77, marking a +1.9% move from the previous day.",CAD,ENB.TO,Zacks - Enbridge (ENB) Outpaces Stock Market Gains: What You Should Know
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/video/mainstream-wellness-industry-built-idea-221108540.html,"Equinox President Scott DeRue joins Yahoo Finance Live to discuss the luxury gym’s ‘We Don’t Speak January’ campaign, committing to the soul, core values, and beliefs of Equinox, being the opposite of the mainstream wellness industry, membership pricing rates, creating an inspired environment, and the outlook for Equinox moving forward.",CAD,EQX.TO,"Yahoo Finance Video - Mainstream wellness industry built ‘on idea that you sign up, but never show up’: Equinox President"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/maverix-receives-positive-recommendations-proxy-230000533.html,"Maverix Metals Inc. (""Maverix"" or the ""Company"") (NYSE: MMX) (TSX: MMX) is pleased to announce the receipt of positive recommendations in support of the proposed arrangement with Triple Flag Precious Metals Corp. announced on November 10, 2022 (the ""Arrangement""), from two independent proxy advisory firms, Institutional Shareholder Services Inc. (""ISS"") and Glass Lewis & Co., LLC (""Glass Lewis""). Both ISS and Glass Lewis have recommended that Maverix shareholders vote in favor of the Arrangement",CAD,MMX.TO,"CNW Group - MAVERIX RECEIVES POSITIVE RECOMMENDATIONS FROM PROXY ADVISORS - INSTITUTIONAL SHAREHOLDER SERVICES INC. AND GLASS LEWIS & CO., LLC"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/mullen-group-ltd-2023-budget-231800559.html,"(TSX: MTL) Mullen Group Ltd. (""Mullen Group"" and/or the ""Corporation"") intends to release its 2023 Budget and Business Plan on Monday, January 16, 2023, at 6:00 a.m. ET, and has scheduled a conference call and webcast as follows:",CAD,MTL.TO,CNW Group - Mullen Group Ltd. - 2023 Budget and Business Plan Conference Call and Webcast
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/1-canadian-stock-think-could-220000329.html,Here's why Shopify (TSX:SHOP) is one Canadian stock that long-term investors should keep on their radar in this current market. The post The 1 Canadian Stock I Think Could Double in 3 Years appeared first on The Motley Fool Canada.,CAD,SHOP.TO,The Motley Fool - The 1 Canadian Stock I Think Could Double in 3 Years
